Application mode;Course;Tuition fees up to date;Age at enrollment;Curricular units 1st sem (enrolled);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Output
8;2;1;20;0;0;0.0;0;0;0.0;Dropout
6;11;0;19;6;6;14.0;6;6;1,36667E+16;Graduate
1;5;0;19;6;0;0.0;6;0;0.0;Dropout
8;15;1;20;6;6;1,34286E+16;6;5;45759;Graduate
12;3;1;45;6;5;1,23333E+16;6;6;13.0;Graduate
12;17;1;50;5;5;1,18571E+16;5;5;45788;Graduate
1;12;1;18;7;7;45729;8;8;14345;Graduate
9;11;0;22;5;0;0.0;5;0;0.0;Dropout
1;10;1;21;6;6;13875;6;6;1,41429E+16;Graduate
1;10;0;18;6;5;45758;6;2;45790;Dropout
1;14;1;18;6;6;1,23333E+16;6;5;45702;Graduate
1;12;1;18;8;7;1,32143E+16;8;7;1,32143E+16;Graduate
1;16;1;19;6;0;0.0;6;0;0.0;Dropout
17;11;1;21;6;6;1,05714E+16;6;5;11.0;Graduate
1;6;1;18;5;4;13.25;5;5;12.0;Graduate
1;15;1;20;6;5;45701;6;0;0.0;Dropout
9;10;1;18;6;1;12.0;6;2;11.0;Enrolled
8;12;1;18;7;7;1330625;8;8;14545;Graduate
1;8;1;20;5;4;45789;5;4;45992;Graduate
1;16;1;18;7;6;1,16667E+16;7;6;45790;Enrolled
1;2;1;21;0;0;0.0;0;0;0.0;Graduate
9;13;1;20;7;7;114375;8;8;11425;Enrolled
1;12;1;18;8;7;1,28571E+16;8;7;1,28571E+16;Graduate
1;14;1;19;6;6;13375;6;6;1,22857E+16;Graduate
1;12;1;19;7;6;1,32967E+16;8;7;1,41143E+16;Graduate
1;10;1;18;6;5;45819;6;4;11.0;Enrolled
8;10;1;21;6;6;11375;6;6;1,32857E+16;Graduate
1;6;1;18;5;5;1,26667E+16;5;4;13.0;Enrolled
1;9;1;20;5;5;12.0;5;5;1,23333E+16;Graduate
8;12;1;19;7;6;1,29333E+16;7;6;1,37167E+16;Enrolled
15;4;1;21;6;5;1,18571E+16;6;5;1,05714E+16;Enrolled
16;5;1;20;6;6;1,28333E+16;6;4;45760;Graduate
1;9;0;18;5;3;1,13333E+16;5;2;45790;Enrolled
9;3;1;19;6;6;1,26667E+16;6;6;14375;Graduate
1;17;1;34;5;5;45759;5;5;1,34286E+16;Graduate
12;1;0;37;7;0;0.0;7;1;10.0;Dropout
12;7;1;43;5;0;0.0;5;0;0.0;Dropout
14;9;1;55;5;1;10.0;5;2;12.0;Dropout
12;17;1;39;5;5;11.0;5;5;45819;Graduate
15;8;0;20;6;3;1,16667E+16;6;3;12.0;Dropout
1;15;1;18;6;4;27729;5;0;0.0;Dropout
1;9;1;22;5;5;45883;5;5;45884;Graduate
1;12;1;22;7;5;13928;8;7;1,43429E+16;Graduate
8;15;0;20;6;4;13.0;6;5;45882;Dropout
12;17;1;29;5;0;0.0;5;0;0.0;Dropout
8;17;1;24;5;2;45788;5;3;1,43333E+16;Enrolled
8;10;1;18;6;6;1,16667E+16;6;5;45701;Graduate
8;12;1;22;7;6;1,35167E+16;8;7;1,37714E+16;Graduate
15;3;1;21;6;6;45788;6;6;1,32857E+16;Graduate
1;10;1;19;6;5;1,23333E+16;6;6;1,28333E+16;Graduate
12;11;1;24;6;6;1,36667E+16;6;6;1,41667E+16;Graduate
